Date mutation,Valeur fonciere,Code postal,Commune,Type local,Surface reelle bati,prix_m2
06/02/2024,100000.0,08500,REVIN,Maison,84.0,1190.4761904761904
19/01/2024,1200000.0,08220,CHAPPES,Maison,90.0,13333.333333333334
25/01/2024,2800000.0,08200,SEDAN,Maison,325.0,8615.384615384615
30/01/2024,820000.0,08170,FUMAY,Maison,67.0,12238.805970149253
13/02/2024,800000.0,08170,FUMAY,Maison,80.0,10000.0
22/02/2024,600000.0,08220,ROCQUIGNY,Maison,100.0,6000.0
20/02/2024,1100000.0,08120,BOGNY-SUR-MEUSE,Maison,113.0,9734.513274336283
22/02/2024,3000000.0,08320,AUBRIVES,Maison,162.0,18518.51851851852
01/03/2024,400000.0,08250,MARCQ,Maison,95.0,4210.526315789473
01/03/2024,400000.0,08250,MARCQ,Maison,60.0,6666.666666666667
11/03/2024,1500000.0,08700,NOUZONVILLE,Maison,93.0,16129.032258064517
22/03/2024,600000.0,08130,GUINCOURT,Maison,35.0,17142.85714285714
22/03/2024,600000.0,08130,GUINCOURT,Maison,35.0,17142.85714285714
19/03/2024,1000000.0,08170,FUMAY,Maison,55.0,18181.81818181818
22/03/2024,1875000.0,08170,HARGNIES,Maison,204.0,9191.176470588236
22/03/2024,1875000.0,08170,HARGNIES,Maison,204.0,9191.176470588236
22/03/2024,1875000.0,08170,HARGNIES,Maison,204.0,9191.176470588236
22/03/2024,1875000.0,08170,HARGNIES,Maison,204.0,9191.176470588236
26/03/2024,200000.0,08150,LEPRON LES VALLEES,Maison,50.0,4000.0
02/04/2024,2000000.0,08250,GRANDPRE,Maison,281.0,7117.437722419929
13/03/2024,1500000.0,08200,SEDAN,Appartement,126.0,11904.761904761905
28/03/2024,200000.0,08120,BOGNY-SUR-MEUSE,Maison,96.0,2083.3333333333335
11/04/2024,500000.0,08130,MONT-LAURENT,Maison,61.0,8196.72131147541
11/04/2024,500000.0,08130,MONT-LAURENT,Maison,61.0,8196.72131147541
11/04/2024,500000.0,08130,MONT-LAURENT,Maison,61.0,8196.72131147541
12/04/2024,1000000.0,08200,SAINT-MENGES,Maison,72.0,13888.888888888889
17/04/2024,700000.0,08800,LES HAUTES-RIVIERES,Maison,59.0,11864.406779661016
25/04/2024,600000.0,08800,THILAY,Maison,32.0,18750.0
25/04/2024,600000.0,08800,THILAY,Maison,32.0,18750.0
10/04/2024,700000.0,08350,THELONNE,Maison,90.0,7777.777777777777
19/04/2024,1500000.0,08270,PUISEUX,Maison,140.0,10714.285714285714
18/04/2024,1100000.0,08390,MARQUIGNY,Maison,84.0,13095.238095238095
23/04/2024,600000.0,08270,CHESNOIS AUBONCOURT,Maison,40.0,15000.0
12/04/2024,1500000.0,08240,TAILLY,Maison,110.0,13636.363636363636
24/04/2024,2800000.0,08200,SEDAN,Maison,325.0,8615.384615384615
16/05/2024,500000.0,08800,LAIFOUR,Maison,70.0,7142.857142857143
15/05/2024,1500000.0,08190,LE THOUR,Maison,120.0,12500.0
02/05/2024,500000.0,08130,AMBLY-FLEURY,Maison,30.0,16666.666666666668
02/05/2024,500000.0,08130,AMBLY-FLEURY,Maison,30.0,16666.666666666668
24/05/2024,600000.0,08110,OSNES,Maison,44.0,13636.363636363636
14/06/2024,630000.0,08400,CHARDENY,Maison,51.0,12352.941176470587
14/06/2024,500000.0,08400,CHARDENY,Maison,51.0,9803.921568627451
13/06/2024,1000000.0,08380,LA NEUVILLE-AUX-JOUTES,Maison,135.0,7407.407407407408
12/06/2024,80000.0,08130,ECORDAL,Maison,83.0,963.855421686747
25/06/2024,2200000.0,08150,AUBIGNY-LES-POTHEES,Appartement,115.0,19130.434782608696
27/06/2024,1650000.0,08270,VIEL SAINT REMY,Maison,83.0,19879.518072289156
27/06/2024,1650000.0,08270,VIEL SAINT REMY,Maison,83.0,19879.518072289156
01/07/2024,300000.0,08300,RETHEL,Appartement,64.0,4687.5
11/07/2024,500000.0,08260,GIRONDELLE,Maison,30.0,16666.666666666668
11/07/2024,500000.0,08260,GIRONDELLE,Maison,30.0,16666.666666666668
08/07/2024,1000000.0,08240,BRIEULLES-SUR-BAR,Maison,102.0,9803.921568627451
08/07/2024,2000000.0,08250,MONTCHEUTIN,Maison,121.0,16528.92561983471
29/07/2024,1700000.0,08200,SEDAN,Maison,102.0,16666.666666666668
26/07/2024,500000.0,08350,VRIGNE AUX BOIS,Appartement,60.0,8333.333333333334
26/07/2024,500000.0,08350,VRIGNE AUX BOIS,Appartement,48.0,10416.666666666666
15/07/2024,50000.0,08400,MONT SAINT MARTIN,Maison,63.0,793.6507936507936
16/07/2024,1000000.0,08500,REVIN,Maison,86.0,11627.906976744185
26/07/2024,2000000.0,08150,RIMOGNE,Maison,110.0,18181.81818181818
26/07/2024,1200000.0,08400,BRECY BRIERES,Maison,152.0,7894.736842105263
06/09/2024,1000000.0,08320,VIREUX MOLHAIN,Maison,89.0,11235.955056179775
27/07/2024,3000000.0,08130,ECORDAL,Maison,202.0,14851.485148514852
24/09/2024,105000.0,08140,BAZEILLES,Maison,93.0,1129.032258064516
19/09/2024,1000000.0,08170,HAYBES,Maison,67.0,14925.373134328358
24/09/2024,1500000.0,08700,GESPUNSART,Maison,92.0,16304.347826086956
04/10/2024,1200000.0,08200,FLOING,Appartement,100.0,12000.0
17/10/2024,800000.0,08460,NEUFMAISON,Maison,58.0,13793.103448275862
07/10/2024,1500000.0,08110,BLAGNY,Maison,164.0,9146.341463414634
05/11/2024,750000.0,08170,FUMAY,Maison,69.0,10869.565217391304
15/11/2024,450000.0,08120,BOGNY-SUR-MEUSE,Maison,59.0,7627.118644067797
06/11/2024,1800000.0,08270,NOVION PORCIEN,Maison,100.0,18000.0
22/11/2024,2500000.0,08200,ILLY,Maison,141.0,17730.49645390071
07/11/2024,1000000.0,08130,TOURTERON,Maison,56.0,17857.14285714286
04/11/2024,600000.0,08130,TOURTERON,Maison,58.0,10344.827586206897
25/11/2024,300000.0,08320,VIREUX WALLERAND,Maison,64.0,4687.5
22/11/2024,1900000.0,08000,CHARLEVILLE-MEZIERES,Appartement,112.0,16964.285714285714
27/11/2024,2000000.0,08110,LINAY,Maison,120.0,16666.666666666668
26/11/2024,900000.0,08250,CHATEL CHEHERY,Maison,83.0,10843.373493975903
02/12/2024,2000000.0,08210,YONCQ,Maison,190.0,10526.315789473685
02/12/2024,2000000.0,08210,YONCQ,Maison,190.0,10526.315789473685
19/12/2024,1000000.0,08260,BLOMBAY,Maison,59.0,16949.15254237288
20/12/2024,1200000.0,08430,LAUNOIS-SUR-VENCE,Maison,148.0,8108.108108108108
23/12/2024,1300000.0,08400,VOUZIERS,Maison,75.0,17333.333333333332
19/12/2024,1500000.0,08800,LAIFOUR,Maison,100.0,15000.0
08/01/2024,100000.0,09300,LAVELANET,Maison,95.0,1052.6315789473683
23/01/2024,375000.0,09300,LAVELANET,Maison,36.0,10416.666666666666
26/01/2024,300000.0,09220,VAL-DE-SOS,Maison,70.0,4285.714285714285
22/01/2024,58000.0,09240,MONTELS,Maison,17.0,3411.764705882353
01/02/2024,566667.0,09600,LAROQUE-D OLMES,Maison,48.0,11805.5625
28/02/2024,150000.0,09600,LAROQUE-D OLMES,Maison,36.0,4166.666666666667
07/03/2024,868500.0,09500,LAGARDE,Maison,63.0,13785.714285714286
06/03/2024,50000.0,09000,ST-PAUL-DE-JARRAT,Maison,20.0,2500.0
18/03/2024,1200000.0,09500,CAMON,Maison,76.0,15789.473684210527
04/03/2024,1400000.0,09000,FOIX,Appartement,203.0,6896.551724137931
04/03/2024,1400000.0,09000,FOIX,Appartement,118.0,11864.406779661016
06/03/2024,800000.0,09400,SAURAT,Maison,60.0,13333.333333333334
